dept_id,renewal_date
FAC_2769,2026-04-29
FAC_2725,2025-11-29
FAC_6031,2024-09-29
FAC_1608,2026-01-20
FAC_2588,2024-11-23
FAC_7323,2025-08-15
FAC_6245,2025-11-16
FAC_3966,2024-07-17
FAC_4753,2026-01-21
FAC_2812,2026-02-10
FAC_8388,2026-03-08
FAC_6609,2026-03-05
FAC_6468,2026-04-23
FAC_6841,2024-08-04
FAC_3541,2025-11-17
FAC_5018,2025-09-26
FAC_1621,2026-04-20
FAC_7463,2025-12-16
FAC_4078,2025-05-28
FAC_4732,2024-06-23
FAC_7556,2026-02-28
FAC_3593,2026-01-19
FAC_9975,2025-11-09
FAC_7100,2025-12-01
FAC_9182,2026-02-24
FAC_9838,2025-11-13
FAC_1950,2024-12-18
FAC_5543,2025-04-07
FAC_6526,2025-09-07
FAC_2982,2026-01-10
FAC_4089,2026-02-06
FAC_8477,2026-04-01
FAC_2404,2024-05-07
FAC_3968,2026-02-12
FAC_1568,2025-12-06
FAC_8216,2025-10-08
FAC_6534,2026-02-01
FAC_6772,2026-02-05
FAC_3150,2025-11-15
FAC_7601,2025-01-21
FAC_2055,2026-03-16
FAC_1306,2026-04-01
FAC_5693,2026-02-06
FAC_8244,2026-04-18
FAC_6345,2026-02-08
FAC_4768,2025-08-02
FAC_8118,2026-04-18
FAC_5249,2025-12-13
FAC_7980,2025-05-04
FAC_8913,2025-01-16
FAC_2649,2025-10-16
FAC_3555,2025-12-09
FAC_4463,2026-03-11
FAC_1981,2024-12-28
FAC_6932,2026-04-23
FAC_4764,2026-04-29
FAC_6671,2024-11-02
FAC_3586,2026-02-16
FAC_1781,2026-01-22
FAC_3361,2025-03-14
FAC_1741,2025-03-24
FAC_5919,2026-01-28
FAC_2477,2024-07-03
FAC_5423,2025-11-19
FAC_7572,2026-04-24
FAC_9383,2025-06-08
FAC_6925,2026-02-01
FAC_6372,2026-03-02
FAC_4951,2025-11-10
FAC_1277,2026-04-29
FAC_4759,2024-10-25
FAC_6877,2025-02-25
FAC_3350,2026-03-09
FAC_7886,2026-01-14
FAC_4608,2024-07-30
FAC_8442,2025-07-10
FAC_4673,2025-09-23
FAC_4131,2024-12-13
FAC_1216,2025-10-29
FAC_7951,2024-09-15
FAC_6342,2026-04-30
FAC_3602,2026-02-19
FAC_3423,2026-03-19
FAC_5106,2024-06-30
FAC_2916,2026-01-06
FAC_4109,2026-04-12
FAC_5739,2025-01-02
FAC_7621,2026-01-03
FAC_5226,2026-04-01
FAC_7443,2025-12-20
FAC_1409,2025-02-21
FAC_4846,2025-12-31
FAC_7005,2026-04-30
FAC_6905,2026-03-01
FAC_4167,2026-03-02
FAC_2797,2026-01-14
FAC_3226,2026-04-25
FAC_5540,2026-04-08
FAC_3100,2025-10-05
FAC_4276,2025-11-22
FAC_6268,2025-12-27
FAC_6317,2026-01-29
FAC_2859,2026-02-15
FAC_2786,2025-12-01
FAC_9381,2025-09-26
FAC_1039,2025-05-21
FAC_6081,2026-02-08
FAC_8743,2026-01-12
FAC_7235,2026-01-02
FAC_8048,2024-08-17
FAC_7275,2026-04-04
FAC_3503,2026-02-18
FAC_2858,2024-10-11
FAC_7891,2025-12-11
FAC_9189,2025-12-19
FAC_1367,2025-11-05
FAC_6871,2026-03-18
FAC_7578,2025-11-28
FAC_6535,2026-02-13
FAC_8140,2025-04-28
FAC_7934,2024-06-14
FAC_2100,2025-12-17
FAC_6395,2025-01-19
FAC_5967,2025-11-15
FAC_6942,2024-07-09
FAC_5411,2026-04-20
FAC_2150,2026-04-02
FAC_8790,2026-02-03
FAC_3462,2026-01-31
FAC_5441,2025-02-05
FAC_6693,2026-04-17
FAC_6643,2026-04-28
FAC_3818,2025-03-29
FAC_8869,2026-04-10
FAC_3714,2025-12-21
FAC_4630,2026-01-02
FAC_2567,2026-03-24
FAC_3804,2025-12-12
FAC_2667,2024-08-10
FAC_1388,2025-11-10
FAC_8746,2026-03-05
FAC_3730,2025-11-15
FAC_9640,2024-09-26
FAC_1367,2026-04-12
FAC_7245,2024-07-16
FAC_4652,2025-03-24
FAC_1008,2025-12-20
FAC_4140,2024-10-24
FAC_7354,2025-12-02
FAC_8955,2025-09-11
FAC_5605,2025-07-29
FAC_4582,2024-09-13
FAC_5211,2024-12-05
FAC_8789,2025-02-18
FAC_4302,2026-03-18
FAC_2455,2026-02-04
FAC_9522,2025-11-06
FAC_6517,2026-04-14
FAC_4057,2026-03-16
FAC_5299,2025-04-22
FAC_2224,2026-04-28
FAC_8854,2025-02-16
FAC_1888,2025-11-11
FAC_7228,2025-12-29
FAC_3657,2025-12-25
FAC_4111,2025-11-25
FAC_7160,2024-11-16
FAC_3550,2026-01-20
FAC_2656,2025-12-19
FAC_1738,2025-12-26
FAC_4964,2025-02-21
FAC_8516,2026-02-02
FAC_2522,2025-11-13
FAC_6303,2026-02-11
FAC_9645,2025-06-15
FAC_3308,2025-12-09
FAC_3485,2026-02-28
FAC_8994,2025-11-26
FAC_7939,2025-02-13
FAC_4739,2025-11-15
FAC_6725,2024-08-28
FAC_9558,2025-05-27
FAC_1853,2026-02-04
FAC_4824,2026-01-12
FAC_1805,2026-01-19
FAC_6001,2026-03-23
FAC_9198,2026-04-27
FAC_6742,2025-12-18
FAC_6861,2026-04-29
FAC_8194,2025-11-05
FAC_2789,2025-08-10
FAC_2213,2026-02-07
FAC_4004,2025-12-05
FAC_6728,2024-12-10
FAC_5003,2024-07-30
FAC_6180,2024-10-27
FAC_5785,2026-01-20
FAC_8607,2025-11-11
FAC_7684,2026-02-06
FAC_2098,2025-08-03
FAC_4353,2026-03-06
FAC_8683,2025-12-04
FAC_2983,2026-03-04
FAC_9569,2025-12-09
FAC_3407,2025-12-12
FAC_8991,2026-01-11
FAC_4609,2025-12-06
FAC_3107,2026-03-12
FAC_9400,2026-04-29
FAC_7430,2026-03-06
FAC_9443,2025-11-17
FAC_1457,2025-01-28
FAC_7257,2024-05-23
FAC_1384,2026-02-07
FAC_5858,2026-01-23
FAC_3623,2024-09-10
FAC_5231,2024-11-25
FAC_9686,2025-12-29
FAC_1614,2025-07-28
FAC_6509,2026-04-09
FAC_9164,2025-07-04
FAC_2636,2025-04-24
FAC_8372,2026-04-17
FAC_4859,2024-10-08
FAC_4373,2026-03-17
FAC_1538,2026-03-30
FAC_6289,2025-11-05
FAC_6699,2025-11-18
FAC_4357,2026-03-02
FAC_9366,2026-02-08
FAC_8404,2026-04-15
FAC_6840,2025-11-19
FAC_5100,2026-02-08
FAC_8914,2026-02-01
FAC_3574,2026-03-27
FAC_4271,2025-11-08
FAC_1678,2026-03-28
FAC_9232,2026-02-02
FAC_3678,2026-02-21
FAC_1787,2026-04-23
FAC_3673,2026-04-10
FAC_9466,2026-04-28
FAC_3860,2025-04-28
FAC_7312,2025-12-27
FAC_4924,2025-12-16
FAC_1819,2025-01-05
FAC_3197,2025-11-19
FAC_5845,2025-12-07
FAC_8345,2026-01-25
FAC_4050,2026-01-28
FAC_8061,2026-01-17
FAC_1538,2026-02-10
FAC_3796,2025-10-14
FAC_8389,2026-02-01
FAC_9286,2025-08-18
FAC_7496,2026-02-16
FAC_5275,2026-04-01
FAC_6022,2026-03-29
FAC_7922,2024-05-11
FAC_3539,2025-05-10
FAC_2842,2026-01-10
FAC_4799,2026-03-21
FAC_9882,2025-11-04
FAC_1092,2025-10-02
FAC_3811,2025-01-31
FAC_5321,2025-06-04
FAC_4911,2025-02-14
FAC_5662,2024-07-20
FAC_2152,2026-04-10
FAC_4539,2026-03-10
FAC_7173,2026-01-29
FAC_1829,2025-03-24
FAC_7221,2026-04-22
FAC_7116,2026-01-04
FAC_4168,2026-03-17
FAC_4691,2026-02-12
FAC_6241,2026-04-26
FAC_ORPHAN_0,2024-04-27
FAC_ORPHAN_1,2022-09-11
FAC_ORPHAN_2,2023-01-24
FAC_ORPHAN_3,2023-09-15
FAC_ORPHAN_4,2022-10-20
